subject,id,tp,group,fimbria_left,vofb_left,slfc_right,ifof_right,slfc_left,cc_ant,amyhypdor_left,cerped_left,slfb_left,thalslat_right,cing_right,slfa_right,thalsub_right,cing_left,ilf_left,thalslat_left,intcap_right,vofa_right,ilf_right,fornix_left,amyhypven_right,slfd_right,amyhypven_left,cc_mid,vofb_right,thalsub_left,ifof_left,atr_right,opticrad_left,vofa_left,cerped_right,chip_left,chip_right,thalsmed_right,cc_post,intcap_left,fornix_right,slfa_left,slfb_right,fimbria_right,opticrad_right,thalsmed_left,atr_left,ant_comm,hipcom,slfd_left,cc_temp,site
gds180307_3022.Mh1,3022,9d,TBI,0.5269771827914409,NA,-0.24998621965148757,0.10835345697475057,-0.304487383351683,-0.3232869313719132,NA,-0.5335799769617562,-0.4909936269975658,-0.5243205821704143,-0.38976434988885605,-0.3809542277473878,-0.4929745306032717,-0.34539314603660637,0.3500488120796154,NA,-0.7270456995434853,-0.0057524796433228685,0.4527880298380029,0.05324454904862914,-0.09931021422816542,-0.39361450018849836,-0.0717910900293883,-0.4168558603770598,-0.17208897333582182,-0.8257172541061527,0.3703664270371343,-0.6103567059972633,-0.8576548877354482,-1.2286435240728355,-0.7053185407369726,-0.4663758083225366,-0.2484470953924954,NA,-0.5138922738600866,-0.7810868623380439,0.08990641809324645,-0.4301567661890148,-0.28753572860037147,0.31936143829828656,-0.3094687070227563,NA,-0.43285356713572776,0.3190010523030274,-0.08318148727515859,NA,-0.08508730917196455,UCLA-P1
gds180307_3024.Mh1,3024,9d,TBI,-0.193323386178812,0.09026425166532255,-0.034242331790346775,NA,NA,0.5804233334674833,NA,-0.3093456191265941,-0.2432099983036897,NA,-0.16495425256012713,0.17950619491105677,-0.3125219923757394,-0.3692379670821438,0.2954948461853623,NA,-0.3547454544408341,0.0038714227733945288,-0.4379424728504149,-0.07616383597576819,0.16613202431534352,NA,0.14341725814632938,NA,0.10424432084513548,-0.5779114761377556,0.3075329029923753,0.05486793811419226,-0.8090913492960955,NA,-0.3567440921598845,-0.2696837400315997,0.2546601342324875,NA,-0.15228529860360018,-0.27077439955448757,-0.028009713998737397,0.5852862413305271,-0.23180647912445082,-0.08946671078126318,-0.24139252161590843,NA,0.07079940263240359,0.2586185152096905,-0.4600408910549715,NA,NA,UCLA-P1
gds180307_3026.Mh1,3026,9d,TBI,-0.36029262339888934,NA,-0.4534710100344934,0.5451196935562567,-0.700068597163837,0.012229357758373895,-0.5998337165007699,0.34598629982615153,-0.7245030342992183,0.6476088089491577,-0.2687860374500457,-0.0496528356115842,0.18680486667267365,-0.38975980304517677,0.6139558225755463,0.4494615442658118,0.23004157436295733,-0.26301264442774114,0.4184875034381963,0.11645038933420437,0.5405467087610035,0.14910404425195706,0.8021927123990017,-0.9504806742039931,-0.2743307271974563,0.09490918110621958,0.6167252000123408,0.179693632609909,-1.0646739239241008,-1.2512474423917626,0.46086759512848824,-0.9310088481066798,-0.925202555596797,0.8504145181324424,-1.024871169530595,0.15382190871347662,0.07220333292564107,-0.35567875675350336,-0.3516425709549125,0.05796209096886289,-0.3793792694170779,0.5960849945633917,0.23179267759562167,0.8935414125194703,-0.4165868126669482,-0.31247959181315565,NA,UCLA-P1
gds180307_3027.Mh1,3027,9d,TBI,-1.0197514405944939,-1.0830079028170572,-0.8244397798694845,NA,-0.8836836642587507,-0.2989719166195132,NA,-0.376316472099576,-0.8442445371962587,NA,-0.5974021029301358,-0.5731936436149758,-0.4934025095731107,-0.6684961080425462,0.543543110118927,NA,-0.6227688171173945,-1.088894767200482,-0.947858447327374,-0.19255969628479402,-0.39026660479318115,-0.6348351923202158,0.23718934731655342,NA,-0.9836012629363982,-0.6348363456675539,0.43453632767159633,-0.42436144411240906,-1.2462929098501192,-1.2210828301788275,-0.566847683267467,-1.2646733095731948,-1.5040147835908242,NA,-1.2403735458550893,-0.4859689051263488,-0.3127085020715056,-0.588596863403913,-0.8432637275654145,-0.8298142873030844,-0.9186712913901095,NA,-0.36330629344632326,0.021637684760029068,-1.0844521861753125,NA,NA,UCLA-P1
gds180307_3028.Mi1,3028,9d,TBI,-0.9755712873374651,NA,NA,0.2641447126793345,NA,-1.1344603295510078,NA,0.2392281054215759,-0.9714678788116797,-0.10527355894538976,NA,1.2111656989750115E-4,-0.41406170713160095,-0.9146332555411967,0.3404976148713783,NA,-0.41637425334366396,-0.9219522175635564,-0.27951773410496433,0.2606324002878861,-0.15897001961236265,-0.0672207993169374,0.5745743249030179,NA,-0.8309757208380452,-0.10183991839846232,0.4497495864079764,-0.9267284527058955,-1.1505430454607724,-1.0894957131543936,-0.3748184152262853,-0.8963568778169811,-1.0743237558374215,NA,-1.0401909389626953,0.0818543281847962,0.05328438727309533,-0.1925498682667472,-1.0374372393650766,-0.7913539224514303,NA,NA,0.07560767579379889,0.6322719251865792,-0.8564785180471283,-0.20267859927959767,NA,UCLA-P1
gds180307_3029.Mi1,3029,9d,Sham,0.13176715686760182,0.424019319382757,0.38680732295114373,0.08623622467524025,NA,0.6917869227095993,NA,0.06949764050594154,0.12766367501683887,-0.6449746346962515,0.3445942791484489,0.5608576066472843,-0.14082741808349689,0.13327454951790754,0.49177630135233313,NA,-0.12345747503777797,0.21670163046071692,-0.1927571992252026,-0.09542523572512791,-0.5305432739540931,0.31766525424785275,0.4056919744377714,-0.22511757614701328,0.25203737901956325,0.09526840381502477,0.462705088044648,0.2635375329213084,0.1464933146702469,0.35299626529814965,-0.19662442636148944,0.04248507766386115,-0.1506578923992819,NA,0.24209929370875258,0.22606331736290575,-0.13446839345694575,0.9685151541729369,0.3831144164393218,-0.055164856493006516,NA,NA,0.4080543793928315,0.09938644763116379,0.011811575204938524,NA,NA,UCLA-P1
gds180309_3030.Mj1,3030,9d,TBI,-0.451573761914513,NA,-0.155027858694918,-0.11595740762563554,-0.2181856110296394,0.4671263805232431,NA,-0.28487444559739417,-0.27205356612228687,-0.38714250109877313,0.053410609993800116,0.13466080513361364,-0.28289149574699884,-0.2396935644977333,0.3375740878174431,-0.48329169166056096,-0.1951695910787425,-0.4670088977054119,-0.6206475201596299,-0.3066541244061126,-0.46442295145840967,-0.07735575674714565,-0.46026434050070847,NA,-0.277944449181049,-0.6725538486033081,0.3651060470975699,0.05255137046440294,-0.9433524288748661,-1.0014915863036014,-0.20267411718794354,-0.2727019431186294,-0.3782237456861242,-0.41037832895001725,-0.3498740862673852,-0.36076578301709966,-0.08680463389392289,0.016266367059946805,0.03417879389302841,-0.15901935597698022,-0.2832003237465468,-0.3844560937322504,0.013664663868092636,0.10352267714594833,-0.5617791650273201,-0.27348728200647826,NA,UCLA-P1
gds180309_3032.Mj1,3032,9d,TBI,-1.3274756820573252,NA,-0.24889691666575128,-0.3237040480722601,-0.5019139047683852,0.33454262679704755,NA,-1.0825959797071134,-0.5189959289162107,NA,-0.2478252811325897,0.5051596547277065,-0.7416198279040813,-0.6801738170529591,-0.4329628090650381,NA,-0.4169846869971323,-0.8439276457369036,-0.7526412771949469,-0.629038417330904,-0.4246278328983947,0.17748382007399804,-0.7512915275272162,NA,-1.0474074091947563,-1.4297891495347215,-0.35066790386617175,-0.1593007906250268,-1.8475244014790138,NA,-0.43388011930050135,NA,-0.4047077399694288,NA,-0.5953722979435749,-1.166548933383588,-0.43258899130829775,-0.32962536350926164,-0.13832017603778538,-0.9598061639239668,-1.1346026354987302,NA,-0.7249349341503026,-0.5502175803147372,-0.9598440520941158,NA,NA,UCLA-P1
gds180309_3034.Mj1,3034,9d,TBI,-0.5153611605366214,0.00879622265481605,-0.025011720316687604,-0.09954529436060114,-0.0012070559201631968,0.4847521828321813,NA,-0.1476250613348136,0.05599323214251825,-0.25286114386711633,0.131695920365037,0.14753623861775725,-0.3849517459467483,0.03316226410886313,0.6762681506255912,-0.5027863521550561,-0.18785237369595822,-0.3139764615888337,-0.3689437677920348,-0.658996595060677,-0.2516539889172073,-0.0036730833666610138,-0.23015589091486427,-0.572156642254937,-0.18282313151578222,-0.6742906124269817,0.5654037696582958,-0.006036669166095014,-0.6928429285916714,-0.34523198498475616,-0.11760878738789222,-0.7217745021002924,-0.5762951160512447,0.009049554673359687,-0.4297334098555782,-0.2401227238853993,-0.38685643664918967,0.48947007316049895,0.10119802559701876,-0.3481257050322113,-0.4117213378351307,-0.3786853836605483,0.0539351738636491,0.07186415806332694,-0.5776830184652537,0.3678445194845868,NA,UCLA-P1
gds180309_3037.Mj1,3037,9d,TBI,-0.35193921340243023,NA,-0.12097188291941373,0.09033948455110685,-0.29443169594715524,1.0411289288098788,NA,0.34761116816577425,-0.24017411062157748,0.43962986893373085,0.031172144372906534,0.6329867149741295,0.20809228960664983,-0.036043031902441625,-0.02864734356824286,0.3023039881588831,0.4502603086259992,-0.28035074620139133,-0.39393405387822844,-0.11952294550799332,-0.38022633051668725,0.40808466865063747,-0.22461034864869,-0.5168044812276696,-0.1540656121317437,-0.03828745485724722,-0.010105088099413089,0.5667112251772524,-0.8115585500757325,NA,0.44220675492287587,-0.5381936003713605,-0.4868503215352936,0.521200086905818,-0.367367253675748,0.3465761844026709,-0.1313221248989772,0.8122061477456388,0.12249250749155541,-0.1340296057981126,-0.3214079574765194,0.3838013051191155,0.7231597914568999,0.17016267284536285,-0.40975590658933453,0.45598725748629737,NA,UCLA-P1
